Starters,MIN,PTS,FG_Percentage,3PT_Percentage,FT_Percentage,REB,AST,STL,BLK,+/-,FG-shoot successful,FG-shooting numbers,3PT-successful,3PT-numbers,FT-successful,FT-numbers,Date,Opponent
P. Patterson,19,7,0.222,0.25,0.667,5,0,1,1,+3,2,9,1,4,2,3,2018-10-16,GoldenState
P. George,37,27,0.391,0.333,0.625,2,5,4,0,-16,9,23,4,12,5,8,2018-10-16,GoldenState
S. Adams,36,17,0.5,NaN,0.625,11,4,2,0,-6,6,12,0,0,5,8,2018-10-16,GoldenState
D. Schroder,34,21,0.368,0.333,0.833,8,6,3,1,-7,7,19,2,6,5,6,2018-10-16,GoldenState
T. Ferguson,27,0,0,0,NaN,4,1,0,0,+0,0,2,0,2,0,0,2018-10-16,GoldenState
N. Noel,12,3,0.5,NaN,0.5,7,1,1,1,-2,1,2,0,0,1,2,2018-10-16,GoldenState
J. Grant,29,7,0.286,0.25,0.5,2,2,0,3,-11,2,7,1,4,2,4,2018-10-16,GoldenState
R. Felton,14,6,0.2,0,0.8,3,1,0,0,-1,1,5,0,3,4,5,2018-10-16,GoldenState
H. Diallo,9,4,0.5,NaN,0,1,1,1,0,+5,2,4,0,0,0,1,2018-10-16,GoldenState
A. Abrines,23,8,0.375,0.333,NaN,2,0,0,0,-5,3,8,2,6,0,0,2018-10-16,GoldenState
P. Patterson,19,5,0.5,0.5,NaN,2,0,0,1,-9,2,4,1,2,0,0,2018-10-19,LA
P. George,38,20,0.259,0.273,1,8,4,2,0,-13,7,27,3,11,3,3,2018-10-19,LA
S. Adams,33,17,0.727,NaN,0.5,18,0,1,0,-16,8,11,0,0,1,2,2018-10-19,LA
D. Schroder,30,8,0.133,0,1,2,8,0,0,-18,2,15,0,3,4,4,2018-10-19,LA
T. Ferguson,17,4,0.167,0.167,0.5,0,0,0,0,-11,1,6,1,6,1,2,2018-10-19,LA
N. Noel,15,9,0.8,NaN,0.5,5,0,1,0,+0,4,5,0,0,1,2,2018-10-19,LA
J. Grant,28,4,0.25,0,0.5,8,2,0,2,-5,1,4,0,1,2,4,2018-10-19,LA
R. Felton,18,12,0.417,0,1,4,3,0,1,+2,5,12,0,3,2,2,2018-10-19,LA
H. Diallo,9,3,0,NaN,0.75,3,0,0,0,+1,0,1,0,0,3,4,2018-10-19,LA
A. Abrines,32,10,0.4,0.286,NaN,2,1,1,0,-9,4,10,2,7,0,0,2018-10-19,LA
D. Burton,1,0,NaN,NaN,NaN,0,0,0,0,-2,0,0,0,0,0,0,2018-10-19,LA
P. Patterson,13,4,0.167,0.167,1,2,0,1,1,-12,1,6,1,6,1,1,2018-10-21,Sacramento
P. George,33,29,0.556,0.333,1,6,2,3,0,-7,10,18,3,9,6,6,2018-10-21,Sacramento
S. Adams,34,10,0.429,NaN,0.5,14,0,2,3,-6,3,7,0,0,4,8,2018-10-21,Sacramento
R. Westbrook,35,32,0.565,0.167,0.455,12,8,0,0,-13,13,23,1,6,5,11,2018-10-21,Sacramento
T. Ferguson,19,2,0.143,0,NaN,2,0,1,0,-11,1,7,0,3,0,0,2018-10-21,Sacramento
N. Noel,13,6,1,NaN,NaN,5,0,0,2,-3,3,3,0,0,0,0,2018-10-21,Sacramento
J. Grant,28,7,0.25,0,0.5,3,1,1,2,-1,3,12,0,5,1,2,2018-10-21,Sacramento
D. Schroder,32,14,0.312,0.4,1,4,8,1,0,-5,5,16,2,5,2,2,2018-10-21,Sacramento
H. Diallo,21,11,0.714,0.5,NaN,1,2,2,0,+0,5,7,1,2,0,0,2018-10-21,Sacramento
A. Abrines,5,0,0,0,NaN,1,2,0,0,+5,0,1,0,1,0,0,2018-10-21,Sacramento
D. Burton,7,5,0.5,0.5,NaN,1,0,0,1,-2,2,4,1,2,0,0,2018-10-21,Sacramento
J. Grant,31,10,0.4,0.333,1,6,1,2,1,-5,4,10,1,3,1,1,2018-10-25,Boston
P. George,36,22,0.318,0.2,0.75,8,1,1,0,-16,7,22,2,10,6,8,2018-10-25,Boston
S. Adams,33,12,0.5,NaN,0.333,6,2,0,1,-2,5,10,0,0,2,6,2018-10-25,Boston
R. Westbrook,32,13,0.25,0,0.6,15,8,0,0,-5,5,20,0,5,3,5,2018-10-25,Boston
T. Ferguson,14,2,1,NaN,NaN,2,0,0,0,+6,1,1,0,0,0,0,2018-10-25,Boston
P. Patterson,17,7,0.6,0.5,NaN,7,0,0,0,-1,3,5,1,2,0,0,2018-10-25,Boston
